nombre,categoria,tematica,descripcion,precio_base,stock,imagen,status
Pokebolas pequeñas,Coleccionables,Pokémon,"Réplicas de Pokébolas en tamaño pequeño, perfectas para coleccionar. Material plástico de alta calidad con detalles fieles al anime.",8990,50,,activo
Pokebolas grandes,Coleccionables,Pokémon,Pokébolas de tamaño grande para exhibición. Acabado brillante con mecanismo de apertura funcional.,15990,30,,activo
Articulados largos,Coleccionables,Varios,Figuras articuladas de gran tamaño con múltiples puntos de articulación. Incluye accesorios intercambiables.,45990,20,,activo
Gengar articulado,Coleccionables,Pokémon,"Figura articulada de Gengar con 15 puntos de movimiento. Material PVC de alta calidad, altura 18cm.",32990,25,,activo
Cargador de Magnamite,Tecnología,Pokémon,Cargador inalámbrico con diseño de Magnamite. Compatible con smartphones con carga inalámbrica. LED indicador.,24990,40,,activo
Capsula Pokemon grande,Contenedores,Pokémon,Cápsula de almacenamiento grande con diseño Pokémon. Ideal para guardar cartas o pequeños objetos.,12990,60,,activo
Capsula Pokemon,Contenedores,Pokémon,Cápsula mediana de almacenamiento con tema Pokémon. Material resistente con cierre hermético.,8990,80,,activo
Capsula Pokebola,Contenedores,Pokémon,Cápsula con forma de Pokébola para almacenar objetos pequeños. Mecanismo de apertura suave.,10990,70,,activo
Alcancia Pokemon,Alcancías,Pokémon,Alcancía con diseño de Pokémon favoritos. Ranura superior y tapa removible en la base.,16990,45,,activo
Culos de Pokemon,Accesorios,Pokémon,"Accesorios decorativos con forma de Pokémon. Material suave al tacto, perfectos para escritorio.",6990,100,,activo
Pikachu cosplay,Disfraces,Pokémon,"Disfraz completo de Pikachu incluyendo traje, cola y orejas. Tallas disponibles S-XL.",39990,15,,activo
Eevee,Coleccionables,Pokémon,"Figura coleccionable de Eevee en pose clásica. Base incluida, altura 12cm. Material PVC pintado a mano.",18990,35,,activo
Ocarinas con base,Instrumentos,Zelda,Ocarina funcional con diseño de Zelda incluye base de exhibición. Afinada en Do mayor.,28990,20,,activo
Ocarinas sin base,Instrumentos,Zelda,Ocarina funcional inspirada en Zelda. Instrumento totalmente funcional con libro de partituras incluido.,22990,25,,activo
Escudo Hiliano con base,Réplicas,Zelda,Réplica del escudo de Hyrule con base de exhibición. Material metálico con detalles grabados.,65990,10,,activo
Espada maestra,Réplicas,Zelda,"Réplica de la Master Sword de Zelda. Longitud 90cm, material metálico con empuñadura detallada.",89990,8,,activo
Lapicero con base,Papelería,Varios,Lapicero decorativo con base temática. Funcional y coleccionable. Tinta azul recargable.,12990,60,,activo
Base de espada maestra,Accesorios,Zelda,Base de exhibición específica para espada maestra. Material resistente con grabados decorativos.,24990,15,,activo
Rompecabeza Link,Juguetes,Zelda,Rompecabezas de 1000 piezas con imagen de Link. Incluye póster de referencia. Calidad premium.,18990,40,,activo
Espada maestra corrompida,Réplicas,Zelda,"Versión corrompida de la Master Sword. Detalles oscuros y acabado envejecido. Longitud 85cm.",95990,5,,activo
Frutas del diablo,Coleccionables,One Piece,Set de réplicas de frutas del diablo de One Piece. Diferentes modelos disponibles. Material resina.,35990,25,,activo
Rompecabeza Luffy,Juguetes,One Piece,Rompecabezas de 1000 piezas con Monkey D. Luffy. Imagen de alta resolución con acabado brillante.,19990,35,,activo
